FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
01001,AL,"Autauga County, AL",30450,0.082660099,0.232807882,0.68453202,0.505,0.481,58761,0.2663,0.2367,0.3675,0.6354,0.2358,"Autauga County, AL",Q2,FALSE,0.37365
01003,AL,"Baldwin County, AL",120300,0.070656692,0.272585204,0.656758105,0.841,0.818,233420,0.3487,0.3433,0.2883,0.489,0.4308,"Baldwin County, AL",Q2,FALSE,0.58335
01005,AL,"Barbour County, AL",18131,0.004853566,0.210578567,0.784567867,0.564,0.543,24877,0.9927,0.9399,0.9399,0.8941,0.9959,"Barbour County, AL",Q4: Most vulnerable,FALSE,0.76785
01007,AL,"Bibb County, AL",15033,6.652e-5,0.093594093,0.906339387,0.615,0.582,22251,0.8451,0.8893,0.4954,0.6185,0.8931,"Bibb County, AL",Q4: Most vulnerable,FALSE,0.7135499999999999
01009,AL,"Blount County, AL",39896,0.001729497,0.087026268,0.911244235,0.706,0.654,59077,0.6166,0.6866,0.7884,0.413,0.3532,"Blount County, AL",Q3,FALSE,0.6353
01011,AL,"Bullock County, AL",7927,5.04605e-4,0.154913586,0.844581809,0.64,0.61,10328,0.8985,0.8654,0.5138,0.9809,0.9491,"Bullock County, AL",Q4: Most vulnerable,FALSE,0.75425
01013,AL,"Butler County, AL",16032,0,0.104603293,0.895396707,0.471,0.445,18981,0.6872,0.8441,0.6106,0.8661,0.217,"Butler County, AL",Q3,FALSE,0.5661
01015,AL,"Calhoun County, AL",66791,0.035648516,0.258867213,0.705484272,0.826,0.781,116162,0.8145,0.854,0.65,0.658,0.7114,"Calhoun County, AL",Q4: Most vulnerable,TRUE,0.79775
01017,AL,"Chambers County, AL",23226,0.011624903,0.247438216,0.740936881,0.771,0.727,34612,0.8295,0.7171,0.5317,0.8396,0.9469,"Chambers County, AL",Q4: Most vulnerable,FALSE,0.77825
01019,AL,"Cherokee County, AL",23948,0.075580424,0.109361951,0.815057625,0.829,0.782,25069,0.406,0.6077,0.6494,0.2628,0.1152,"Cherokee County, AL",Q2,FALSE,0.5940000000000001
01021,AL,"Chilton County, AL",31659,0.002526928,0.120660792,0.876812281,0.73,0.692,45140,0.5336,0.5924,0.6837,0.5425,0.2698,"Chilton County, AL",Q3,FALSE,0.6128
01023,AL,"Choctaw County, AL",12058,4.14662e-4,0.035743904,0.963841433,0.509,0.487,12669,0.6548,0.6901,0.798,0.8151,0.2539,"Choctaw County, AL",Q3,FALSE,0.5709
01025,AL,"Clarke County, AL",19039,0,0.112873575,0.887126425,0.574,0.556,23058,0.8365,0.8412,0.7264,0.8641,0.6462,"Clarke County, AL",Q4: Most vulnerable,FALSE,0.69625
01027,AL,"Clay County, AL",11552,2.59695e-4,0.038348338,0.961391967,0.886,0.839,14209,0.6223,0.7235,0.3688,0.5269,0.5851,"Clay County, AL",Q3,FALSE,0.73065
01029,AL,"Cleburne County, AL",12001,0,0.043079743,0.956920257,0.867,0.823,15144,0.5196,0.4938,0.6739,0.1985,0.5482,"Cleburne County, AL",Q3,FALSE,0.6713
01031,AL,"Coffee County, AL",32688,0.042951542,0.252049682,0.704998776,0.443,0.423,53559,0.6802,0.6497,0.9488,0.6806,0.2323,"Coffee County, AL",Q3,FALSE,0.5516
01033,AL,"Colbert County, AL",39367,0.196941601,0.252444941,0.55061345799999994,0.459,0.424,57270,0.4467,0.4944,0.6984,0.5644,0.16,"Colbert County, AL",Q2,FALSE,0.43535
